Rank,book title,book price,rating,author,year of publication,genre,url,first_name,last_name,count genre,link,book,dp,id,ref,slug
43,little blue truck's christmas: a christmas holiday book for kids,11.2,4.8,alice schertle,2014,"childrens, literature",amazon.com/little-trucks-christmas-alice-schertle/dp/0544320417/ref=zg_bs_g_books_sccl_43/143-9831347-1043253?psc=1,alice,schertle,2,amazon.com,little-trucks-christmas-alice-schertle,dp,0544320417,ref=zg_bs_g_books_sccl_43,143-9831347-1043253?psc=1
44,goodnight moon,5.36,4.9,margaret wise brown,1947,"childrens, literature",amazon.com/goodnight-moon-margaret-wise-brown/dp/0694003611/ref=zg_bs_g_books_sccl_44/143-9831347-1043253?psc=1,margaret,wise brown,2,amazon.com,goodnight-moon-margaret-wise-brown,dp,0694003611,ref=zg_bs_g_books_sccl_44,143-9831347-1043253?psc=1
45,i am thankful: a thanksgiving book for kids,7.99,4.7,sheri wall,2020,"picture books, childrens",amazon.com/am-thankful-thanksgiving-book-kids/dp/1646115538/ref=zg_bs_g_books_sccl_45/143-9831347-1043253?psc=1,sheri,wall,3,amazon.com,am-thankful-thanksgiving-book-kids,dp,1646115538,ref=zg_bs_g_books_sccl_45,143-9831347-1043253?psc=1
46,"how to be the love you seek: break cycles, find peace, and heal your relationships",20.11,,nicole lepera,2023,"self help, nonfiction, mental health, psychology, personal development, relationships",amazon.com/how-love-you-seek-relationships/dp/0063267748/ref=zg_bs_g_books_sccl_46/143-9831347-1043253?psc=1,nicole,lepera,9,amazon.com,how-love-you-seek-relationships,dp,0063267748,ref=zg_bs_g_books_sccl_46,143-9831347-1043253?psc=1
47,a court of thorns and roses paperback box set (5 books),48.77,4.8,sarah j. maas,2021,"fantasy, romance",amazon.com/court-thorns-roses-paperback-books/dp/1639730192/ref=zg_bs_g_books_sccl_47/143-9831347-1043253?psc=1,sarah,j. maas,2,amazon.com,court-thorns-roses-paperback-books,dp,1639730192,ref=zg_bs_g_books_sccl_47,143-9831347-1043253?psc=1
48,where's bluey?: a search-and-find book,6.93,4.8, penguin young readers licenses (,2022,"childrens, storytime,fiction",amazon.com/wheres-bluey-search-find-book/dp/0593385691/ref=zg_bs_g_books_sccl_48/143-9831347-1043253?psc=1,,penguin young readers licenses (,2,amazon.com,wheres-bluey-search-find-book,dp,0593385691,ref=zg_bs_g_books_sccl_48,143-9831347-1043253?psc=1
49,the wonderful things you will be,9.4,4.9,emily winfield martin,2015,"picture books, childrens, fiction, poetry",amazon.com/wonderful-things-you-will-be/dp/0385376715/ref=zg_bs_g_books_sccl_49/143-9831347-1043253?psc=1,emily,winfield martin,5,amazon.com,wonderful-things-you-will-be,dp,0385376715,ref=zg_bs_g_books_sccl_49,143-9831347-1043253?psc=1
50,how to catch a dinosaur,4.66,4.8,adam wallace,2019,"picture books, dinosaurs, childrens, fiction, storytime, fantasy, animals",amazon.com/how-catch-dinosaur-adam-wallace/dp/1492680524/ref=zg_bs_g_books_sccl_50/143-9831347-1043253?psc=1,adam,wallace,8,amazon.com,how-catch-dinosaur-adam-wallace,dp,1492680524,ref=zg_bs_g_books_sccl_50,143-9831347-1043253?psc=1
51,hidden potential: the science of achieving greater things,21.0,4.4,adam m. grant,2023,"nonfiction, self help, psychology, business, leadership, personal development",amazon.com/hidden-potential-science-achieving-greater/dp/0593653149/ref=zg_bs_g_books_sccl_1/142-7825522-0098658?psc=1,adam,m. grant,8,amazon.com,hidden-potential-science-achieving-greater,dp,0593653149,ref=zg_bs_g_books_sccl_1,142-7825522-0098658?psc=1
52,resurrection walk (lincoln lawyer),20.98,5.0,michael connelly,2023,"fiction, mystery, thriller, suspense, crime, legal thriller",amazon.com/resurrection-walk-michael-connelly/dp/0316563765/ref=zg_bs_g_books_sccl_2/142-7825522-0098658?psc=1,michael,connelly,7,amazon.com,resurrection-walk-michael-connelly,dp,0316563765,ref=zg_bs_g_books_sccl_2,142-7825522-0098658?psc=1
